State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Alaska,1/18/2020,"1,181",1/11/2020,"9,984","307,329",3.25
Alaska,1/25/2020,"1,003",1/18/2020,"9,496","307,329",3.09
Alaska,2/1/2020,"1,122",1/25/2020,"9,579","307,329",3.12
Alaska,2/8/2020,980,2/1/2020,"9,161","307,329",2.98
Alaska,2/15/2020,915,2/8/2020,"9,343","307,329",3.04
Alaska,2/22/2020,773,2/15/2020,"8,864","307,329",2.88
Alaska,2/29/2020,874,2/22/2020,"8,938","307,329",2.91
Alaska,3/7/2020,815,2/29/2020,"8,266","307,329",2.69
Alaska,3/14/2020,"1,120",3/7/2020,"8,522","307,329",2.77
Alaska,3/21/2020,"7,847",3/14/2020,"8,512","307,329",2.77
Alaska,3/28/2020,"13,774",3/21/2020,"11,173","307,329",3.64
Alaska,4/4/2020,"14,590",3/28/2020,"19,845","307,329",6.46
Alaska,4/11/2020,"12,007",4/4/2020,"35,365","308,137",11.48
Alaska,4/18/2020,"12,201",4/11/2020,"48,096","308,137",15.61
Alaska,4/25/2020,"10,313",4/18/2020,"52,022","308,137",16.88
Alaska,5/2/2020,"8,718",4/25/2020,"49,893","308,137",16.19
Alaska,5/9/2020,"7,807",5/2/2020,"50,791","308,137",16.48
Alaska,5/16/2020,"7,741",5/9/2020,"50,049","308,137",16.24
Alaska,5/23/2020,"8,152",5/16/2020,"48,000","308,137",15.58
Alaska,5/30/2020,"7,452",5/23/2020,"47,344","308,137",15.36
Alaska,6/6/2020,"7,081",5/30/2020,"47,123","308,137",15.29
Alaska,6/13/2020,"6,797",6/6/2020,"45,792","308,137",14.86
Alaska,6/20/2020,"6,757",6/13/2020,"44,380","308,137",14.4
Alaska,6/27/2020,"6,467",6/20/2020,"43,208","308,137",14.02
Alaska,7/4/2020,"6,124",6/27/2020,"42,110","308,137",13.67
Alaska,7/11/2020,"9,572",7/4/2020,"43,225","308,691",14
Alaska,7/18/2020,"6,606",7/11/2020,"41,685","308,691",13.5
Alaska,7/25/2020,"6,069",7/18/2020,"40,596","308,691",13.15
Alaska,8/1/2020,"5,195",7/25/2020,"39,002","308,691",12.63
Alaska,8/8/2020,"4,619",8/1/2020,"34,442","308,691",11.16
Alaska,8/15/2020,"4,731",8/8/2020,"32,899","308,691",10.66
Alaska,8/22/2020,"4,344",8/15/2020,"31,673","308,691",10.26
Alaska,8/29/2020,"4,057",8/22/2020,"29,524","308,691",9.56
Alaska,9/5/2020,"3,817",8/29/2020,"27,536","308,691",8.92
Alaska,9/12/2020,"3,593",9/5/2020,"25,762","308,691",8.35
Alaska,9/19/2020,"3,631",9/12/2020,"24,089","308,691",7.8
Alaska,9/26/2020,"3,600",9/19/2020,"22,532","308,691",7.3
Alaska,10/3/2020,"3,719",9/26/2020,"21,131","308,691",6.85
Alaska,10/10/2020,"5,708",10/3/2020,"20,264","308,959",6.56
Alaska,10/17/2020,"4,608",10/10/2020,"19,754","308,959",6.39
Alaska,10/24/2020,"4,388",10/17/2020,"18,974","308,959",6.14
Alaska,10/31/2020,"4,451",10/24/2020,"18,867","308,959",6.11
Alaska,11/7/2020,"4,545",10/31/2020,"19,083","308,959",6.18
Alaska,11/14/2020,"4,605",11/7/2020,"19,332","308,959",6.26
Alaska,11/21/2020,"4,531",11/14/2020,"19,831","308,959",6.42
Alaska,11/28/2020,"3,834",11/21/2020,"19,466","308,959",6.3
Alaska,12/5/2020,"4,525",11/28/2020,"20,295","308,959",6.57
Alaska,12/12/2020,"4,507",12/5/2020,"20,269","308,959",6.56
Alaska,12/19/2020,"4,016",12/12/2020,"20,235","308,959",6.55
Alaska,12/26/2020,"3,923",12/19/2020,"19,791","308,959",6.41
Alaska,1/2/2021,"2,947",12/26/2020,"20,064","308,959",6.49
Alaska,1/9/2021,"3,900",1/2/2021,"19,702","297,690",6.62
Alaska,1/16/2021,"4,902",1/9/2021,"19,101","297,690",6.42
Alaska,1/23/2021,"3,975",1/16/2021,"18,970","297,690",6.37
Alaska,1/30/2021,"4,190",1/23/2021,"18,936","297,690",6.36
Alaska,2/6/2021,"3,997",1/30/2021,"19,042","297,690",6.4
Alaska,2/13/2021,"3,468",2/6/2021,"17,402","297,690",5.85
Alaska,2/20/2021,"3,994",2/13/2021,"16,978","297,690",5.7
Alaska,2/27/2021,"3,781",2/20/2021,"17,466","297,690",5.87
Alaska,3/6/2021,"3,340",2/27/2021,"16,622","297,690",5.58
Alaska,3/13/2021,"3,233",3/6/2021,"15,751","297,690",5.29
Arkansas,1/4/2020,"2,576",12/28/2019,"15,323","1,193,713",1.28
Arkansas,1/11/2020,"2,493",1/4/2020,"15,536","1,195,622",1.3
Arkansas,1/18/2020,"1,729",1/11/2020,"13,229","1,195,622",1.11
Arkansas,1/25/2020,"1,683",1/18/2020,"12,331","1,195,622",1.03
Arkansas,2/1/2020,"1,837",1/25/2020,"13,210","1,195,622",1.1
Arkansas,2/8/2020,"1,724",2/1/2020,"12,964","1,195,622",1.08
Arkansas,2/15/2020,"1,602",2/8/2020,"12,979","1,195,622",1.09
Arkansas,2/22/2020,"1,055",2/15/2020,"12,546","1,195,622",1.05
Arkansas,2/29/2020,"1,418",2/22/2020,"12,244","1,195,622",1.02
Arkansas,3/7/2020,"1,843",2/29/2020,"11,618","1,195,622",0.97
Arkansas,3/14/2020,"1,382",3/7/2020,"11,514","1,195,622",0.96
Arkansas,3/21/2020,"9,275",3/14/2020,"10,988","1,195,622",0.92
Arkansas,3/28/2020,"27,756",3/21/2020,"16,148","1,195,622",1.35
Arkansas,4/4/2020,"62,086",3/28/2020,"36,499","1,195,622",3.05
Arkansas,4/11/2020,"35,629",4/4/2020,"66,511","1,196,468",5.56
Arkansas,4/18/2020,"25,404",4/11/2020,"91,278","1,196,468",7.63
Arkansas,4/25/2020,"17,671",4/18/2020,"109,337","1,196,468",9.14
Arkansas,5/2/2020,"13,448",4/25/2020,"119,332","1,196,468",9.97
Arkansas,5/9/2020,"13,152",5/2/2020,"122,522","1,196,468",10.24
Arkansas,5/16/2020,"11,427",5/9/2020,"122,408","1,196,468",10.23
Arkansas,5/23/2020,"10,825",5/16/2020,"120,043","1,196,468",10.03
Arkansas,5/30/2020,"8,481",5/23/2020,"115,365","1,196,468",9.64
Arkansas,6/6/2020,"9,663",5/30/2020,"115,482","1,196,468",9.65
Arkansas,6/13/2020,"9,381",6/6/2020,"113,623","1,196,468",9.5
Arkansas,6/20/2020,"9,669",6/13/2020,"112,189","1,196,468",9.38
Arkansas,6/27/2020,"10,395",6/20/2020,"108,691","1,196,468",9.08
Arkansas,7/4/2020,"10,832",6/27/2020,"104,692","1,196,468",8.75
Arkansas,7/11/2020,"14,155",7/4/2020,"99,083","1,197,760",8.27
Arkansas,7/18/2020,"15,932",7/11/2020,"100,026","1,197,760",8.35
Arkansas,7/25/2020,"15,257",7/18/2020,"94,113","1,197,760",7.86
Arkansas,8/1/2020,"12,750",7/25/2020,"79,564","1,197,760",6.64
Arkansas,8/8/2020,"5,908",8/1/2020,"62,402","1,197,760",5.21
Arkansas,8/15/2020,"6,351",8/8/2020,"52,946","1,197,760",4.42
Arkansas,8/22/2020,"5,660",8/15/2020,"48,069","1,197,760",4.01
Arkansas,8/29/2020,"5,337",8/22/2020,"44,564","1,197,760",3.72
Arkansas,9/5/2020,"5,624",8/29/2020,"42,795","1,197,760",3.57
Arkansas,9/12/2020,"4,585",9/5/2020,"38,926","1,197,760",3.25
Arkansas,9/19/2020,"5,778",9/12/2020,"40,856","1,197,760",3.41
Arkansas,9/26/2020,"6,137",9/19/2020,"37,975","1,197,760",3.17
Arkansas,10/3/2020,"5,484",9/26/2020,"36,883","1,197,760",3.08
Arkansas,10/10/2020,"5,719",10/3/2020,"32,303","1,197,760",2.7
Arkansas,10/17/2020,"4,318",10/10/2020,"30,873","1,199,243",2.57
Arkansas,10/24/2020,"4,019",10/17/2020,"26,311","1,199,243",2.19
Arkansas,10/31/2020,"4,014",10/24/2020,"27,441","1,199,243",2.29
Arkansas,11/7/2020,"3,672",10/31/2020,"24,049","1,199,243",2.01
Arkansas,11/14/2020,"3,484",11/7/2020,"21,884","1,199,243",1.82
Arkansas,11/21/2020,"4,276",11/14/2020,"24,239","1,199,243",2.02
Arkansas,11/28/2020,"3,663",11/21/2020,"21,220","1,199,243",1.77
Arkansas,12/5/2020,"4,649",11/28/2020,"24,634","1,199,243",2.05
Arkansas,12/12/2020,"4,049",12/5/2020,"21,953","1,199,243",1.83
Arkansas,12/19/2020,"3,976",12/12/2020,"22,463","1,199,243",1.87
Arkansas,12/26/2020,"3,663",12/19/2020,"19,868","1,199,243",1.66
Arkansas,1/2/2021,"4,400",12/26/2020,"23,006","1,199,243",1.92
Arkansas,1/9/2021,"6,371",1/2/2021,"24,752","1,176,717",2.1
Arkansas,1/16/2021,"4,774",1/9/2021,"22,703","1,176,717",1.93
Arkansas,1/23/2021,"3,901",1/16/2021,"22,562","1,176,717",1.92
Arkansas,1/30/2021,"4,807",1/23/2021,"24,543","1,176,717",2.09
Arkansas,2/6/2021,"4,331",1/30/2021,"24,244","1,176,717",2.06
Arkansas,2/13/2021,"3,147",2/6/2021,"22,475","1,176,717",1.91
Arkansas,2/20/2021,"1,889",2/13/2021,"18,978","1,176,717",1.61
Arkansas,2/27/2021,"6,064",2/20/2021,"27,675","1,176,717",2.35
Arkansas,3/6/2021,"3,806",2/27/2021,"24,848","1,176,717",2.11
Arkansas,3/13/2021,"3,291",3/6/2021,"23,969","1,176,717",2.04
Arizona,1/4/2020,"3,132",12/28/2019,"17,991","2,864,180",0.63
Arizona,1/11/2020,"4,654",1/4/2020,"18,259","2,864,180",0.64
Arizona,1/18/2020,"4,152",1/11/2020,"18,421","2,864,180",0.64
Arizona,1/25/2020,"3,475",1/18/2020,"18,401","2,864,180",0.64
Arizona,2/1/2020,"3,807",1/25/2020,"18,854","2,864,180",0.66
Arizona,2/8/2020,"3,636",2/1/2020,"18,461","2,864,180",0.64
Arizona,2/15/2020,"3,538",2/8/2020,"18,516","2,864,180",0.65
Arizona,2/22/2020,"3,151",2/15/2020,"18,217","2,864,180",0.64
Arizona,2/29/2020,"3,086",2/22/2020,"18,137","2,864,180",0.63
Arizona,3/7/2020,"3,357",2/29/2020,"17,593","2,864,180",0.61
Arizona,3/14/2020,"3,844",3/7/2020,"17,595","2,864,180",0.61
Arizona,3/21/2020,"29,348",3/14/2020,"18,108","2,864,180",0.63
Arizona,3/28/2020,"88,940",3/21/2020,"26,387","2,864,180",0.92
Arizona,4/4/2020,"132,428",3/28/2020,"62,597","2,864,180",2.19
Arizona,4/11/2020,"98,531",4/4/2020,"120,592","2,864,180",4.21
Arizona,4/18/2020,"72,457",4/11/2020,"170,262","2,885,408",5.9
Arizona,4/25/2020,"52,581",4/18/2020,"196,401","2,885,408",6.81
Arizona,5/2/2020,"43,023",4/25/2020,"218,760","2,885,408",7.58
Arizona,5/9/2020,"31,570",5/2/2020,"228,806","2,885,408",7.93
Arizona,5/16/2020,"31,957",5/9/2020,"230,566","2,885,408",7.99
Arizona,5/23/2020,"26,868",5/16/2020,"217,968","2,885,408",7.55
Arizona,5/30/2020,"22,012",5/23/2020,"209,944","2,885,408",7.28
Arizona,6/6/2020,"24,367",5/30/2020,"210,605","2,885,408",7.3
Arizona,6/13/2020,"22,419",6/6/2020,"209,529","2,885,408",7.26
Arizona,6/20/2020,"25,886",6/13/2020,"217,934","2,885,408",7.55
Arizona,6/27/2020,"26,328",6/20/2020,"217,505","2,885,408",7.54
Arizona,7/4/2020,"25,774",6/27/2020,"216,603","2,885,408",7.51
Arizona,7/11/2020,"28,695",7/4/2020,"227,419","2,905,807",7.83
Arizona,7/18/2020,"21,441",7/11/2020,"229,352","2,905,807",7.89
Arizona,7/25/2020,"19,063",7/18/2020,"230,822","2,905,807",7.94
Arizona,8/1/2020,"15,561",7/25/2020,"232,497","2,905,807",8
Arizona,8/8/2020,"11,655",8/1/2020,"219,459","2,905,807",7.55
Arizona,8/15/2020,"12,775",8/8/2020,"211,212","2,905,807",7.27
Arizona,8/22/2020,"12,487",8/15/2020,"205,978","2,905,807",7.09
Arizona,8/29/2020,"11,705",8/22/2020,"202,716","2,905,807",6.98
Arizona,9/5/2020,"11,343",8/29/2020,"200,184","2,905,807",6.89
Arizona,9/12/2020,"10,015",9/5/2020,"194,479","2,905,807",6.69
Arizona,9/19/2020,"9,065",9/12/2020,"190,507","2,905,807",6.56
Arizona,9/26/2020,"8,208",9/19/2020,"175,837","2,905,807",6.05
Arizona,10/3/2020,"7,966",9/26/2020,"168,948","2,905,807",5.81
Arizona,10/10/2020,"7,925",10/3/2020,"151,436","2,927,942",5.17
Arizona,10/17/2020,"7,053",10/10/2020,"137,816","2,927,942",4.71
Arizona,10/24/2020,"6,813",10/17/2020,"125,852","2,927,942",4.3
Arizona,10/31/2020,"6,389",10/24/2020,"112,425","2,927,942",3.84
Arizona,11/7/2020,"6,410",10/31/2020,"103,243","2,927,942",3.53
Arizona,11/14/2020,"6,285",11/7/2020,"95,164","2,927,942",3.25
Arizona,11/21/2020,"7,154",11/14/2020,"91,485","2,927,942",3.12
Arizona,11/28/2020,"5,569",11/21/2020,"81,219","2,927,942",2.77
Arizona,12/5/2020,"7,362",11/28/2020,"82,614","2,927,942",2.82
Arizona,12/12/2020,"6,921",12/5/2020,"75,979","2,927,942",2.59
Arizona,12/19/2020,"7,032",12/12/2020,"75,045","2,927,942",2.56
Arizona,12/26/2020,"6,569",12/19/2020,"69,775","2,927,942",2.38
Arizona,1/2/2021,"7,992",12/26/2020,"71,901","2,927,942",2.46
Arizona,1/9/2021,"12,309",1/2/2021,"76,818","2,880,711",2.67
Arizona,1/16/2021,"12,006",1/9/2021,"71,369","2,880,711",2.48
Arizona,1/23/2021,"13,034",1/16/2021,"70,808","2,880,711",2.46
Arizona,1/30/2021,"15,148",1/23/2021,"71,444","2,880,711",2.48
Arizona,2/6/2021,"7,670",1/30/2021,"69,884","2,880,711",2.43
Arizona,2/13/2021,"3,903",2/6/2021,"68,986","2,880,711",2.39
Arizona,2/20/2021,"4,108",2/13/2021,"64,813","2,880,711",2.25
Arizona,2/27/2021,"4,091",2/20/2021,"62,964","2,880,711",2.19
Arizona,3/6/2021,"4,244",2/27/2021,"60,271","2,880,711",2.09
Arizona,3/13/2021,"5,220",3/6/2021,"46,404","2,880,711",1.61
California,1/4/2020,"36,720",12/28/2019,"359,606","17,203,829",2.09
California,1/11/2020,"51,993",1/4/2020,"356,376","17,265,039",2.06
California,1/18/2020,"64,858",1/11/2020,"376,947","17,265,039",2.18
California,1/25/2020,"45,596",1/18/2020,"336,269","17,265,039",1.95
California,2/1/2020,"43,458",1/25/2020,"388,341","17,265,039",2.25
California,2/8/2020,"40,392",2/1/2020,"359,156","17,265,039",2.08
California,2/15/2020,"43,445",2/8/2020,"375,305","17,265,039",2.17
California,2/22/2020,"34,979",2/15/2020,"349,252","17,265,039",2.02
California,2/29/2020,"41,678",2/22/2020,"369,988","17,265,039",2.14
California,3/7/2020,"43,385",2/29/2020,"378,864","17,265,039",2.19
California,3/14/2020,"57,606",3/7/2020,"351,344","17,265,039",2.04
California,3/21/2020,"186,333",3/14/2020,"421,912","17,265,039",2.44
California,3/28/2020,"1,058,325",3/21/2020,"400,565","17,265,039",2.32
California,4/4/2020,"918,814",3/28/2020,"1,076,761","17,265,039",6.24
California,4/11/2020,"655,472",4/4/2020,"1,429,954","17,330,010",8.25
California,4/18/2020,"528,360",4/11/2020,"2,422,458","17,330,010",13.98
California,4/25/2020,"325,343",4/18/2020,"1,887,575","17,330,010",10.89
California,5/2/2020,"316,257",4/25/2020,"4,808,361","17,330,010",27.75
California,5/9/2020,"212,667",5/2/2020,"2,850,204","17,330,010",16.45
California,5/16/2020,"244,431",5/9/2020,"3,565,153","17,330,010",20.57
California,5/23/2020,"203,262",5/16/2020,"2,155,310","17,330,010",12.44
California,5/30/2020,"228,634",5/23/2020,"2,752,401","17,330,010",15.88
California,6/6/2020,"255,836",5/30/2020,"2,812,484","17,330,010",16.23
California,6/13/2020,"241,424",6/6/2020,"3,001,413","17,330,010",17.32
California,6/20/2020,"284,494",6/13/2020,"2,779,425","17,330,010",16.04
California,6/27/2020,"277,362",6/20/2020,"2,901,601","17,330,010",16.74
California,7/4/2020,"264,791",6/27/2020,"2,758,474","17,330,010",15.92
California,7/11/2020,"284,914",7/4/2020,"2,946,807","17,396,834",16.94
California,7/18/2020,"289,594",7/11/2020,"2,704,904","17,396,834",15.55
California,7/25/2020,"244,653",7/18/2020,"3,140,619","17,396,834",18.05
California,8/1/2020,"222,043",7/25/2020,"2,789,482","17,396,834",16.03
California,8/8/2020,"202,509",8/1/2020,"2,961,188","17,396,834",17.02
California,8/15/2020,"190,354",8/8/2020,"2,806,840","17,396,834",16.13
California,8/22/2020,"196,916",8/15/2020,"2,837,991","17,396,834",16.31
California,8/29/2020,"219,563",8/22/2020,"2,570,005","17,396,834",14.77
California,9/5/2020,"243,404",8/29/2020,"3,012,587","17,396,834",17.32
California,9/12/2020,"226,004",9/5/2020,"2,724,331","17,396,834",15.66
California,9/19/2020,"226,179",9/12/2020,"2,802,145","17,396,834",16.11
California,9/26/2020,"171,220",9/19/2020,"2,274,592","17,396,834",13.07
California,10/3/2020,"148,213",9/26/2020,"2,212,779","17,396,834",12.72
California,10/10/2020,"176,083",10/3/2020,"2,011,273","17,473,068",11.51
California,10/17/2020,"159,876",10/10/2020,"1,836,240","17,473,068",10.51
California,10/24/2020,"152,176",10/17/2020,"1,653,245","17,473,068",9.46
California,10/31/2020,"152,480",10/24/2020,"1,561,263","17,473,068",8.94
California,11/7/2020,"157,773",10/31/2020,"1,446,336","17,473,068",8.28
California,11/14/2020,"158,825",11/7/2020,"1,388,837","17,473,068",7.95
California,11/21/2020,"168,186",11/14/2020,"1,277,409","17,473,068",7.31
California,11/28/2020,"130,383",11/21/2020,"1,103,423","17,473,068",6.31
California,12/5/2020,"178,724",11/28/2020,"1,224,826","17,473,068",7.01
California,12/12/2020,"204,388",12/5/2020,"1,159,688","17,473,068",6.64
California,12/19/2020,"158,661",12/12/2020,"1,006,699","17,473,068",5.76
California,12/26/2020,"168,732",12/19/2020,"1,048,514","17,473,068",6
California,1/2/2021,"160,989",12/26/2020,"876,615","17,473,068",5.02
California,1/9/2021,"182,625",1/2/2021,"973,908","16,937,325",5.75
California,1/16/2021,"117,242",1/9/2021,"894,354","16,937,325",5.28
California,1/23/2021,"58,226",1/16/2021,"816,618","16,937,325",4.82
California,1/30/2021,"109,251",1/23/2021,"778,456","16,937,325",4.6
California,2/6/2021,"137,939",1/30/2021,"771,537","16,937,325",4.56
California,2/13/2021,"139,603",2/6/2021,"728,794","16,937,325",4.3
California,2/20/2021,"90,465",2/13/2021,"792,120","16,937,325",4.68
California,2/27/2021,"88,978",2/20/2021,"765,925","16,937,325",4.52
California,3/6/2021,"106,771",2/27/2021,"705,063","16,937,325",4.16
California,3/13/2021,"109,327",3/6/2021,"679,163","16,937,325",4.01
Colorado,1/4/2020,"2,431",12/28/2019,"21,391","2,635,231",0.81
Colorado,1/11/2020,"3,001",1/4/2020,"21,492","2,650,335",0.81
Colorado,1/18/2020,"2,522",1/11/2020,"21,104","2,650,335",0.8
Colorado,1/25/2020,"2,164",1/18/2020,"22,738","2,650,335",0.86
Colorado,2/1/2020,"2,049",1/25/2020,"21,560","2,650,335",0.81
Colorado,2/8/2020,"2,482",2/1/2020,"22,881","2,650,335",0.86
Colorado,2/15/2020,"2,209",2/8/2020,"22,076","2,650,335",0.83
Colorado,2/22/2020,"1,862",2/15/2020,"23,694","2,650,335",0.89
Colorado,2/29/2020,"1,681",2/22/2020,"22,409","2,650,335",0.85
Colorado,3/7/2020,"1,865",2/29/2020,"22,908","2,650,335",0.86
Colorado,3/14/2020,"2,321",3/7/2020,"21,260","2,650,335",0.8
Colorado,3/21/2020,"19,774",3/14/2020,"21,309","2,650,335",0.8
Colorado,3/28/2020,"61,838",3/21/2020,"21,956","2,650,335",0.83
Colorado,4/4/2020,"46,326",3/28/2020,"73,584","2,650,335",2.78
Colorado,4/11/2020,"104,572",4/4/2020,"166,593","2,666,358",6.25
Colorado,4/18/2020,"67,639",4/11/2020,"171,434","2,666,358",6.43
Colorado,4/25/2020,"38,662",4/18/2020,"228,713","2,666,358",8.58
Colorado,5/2/2020,"28,360",4/25/2020,"228,683","2,666,358",8.58
Colorado,5/9/2020,"22,732",5/2/2020,"261,951","2,666,358",9.82
Colorado,5/16/2020,"18,054",5/9/2020,"246,507","2,666,358",9.25
Colorado,5/23/2020,"15,719",5/16/2020,"265,499","2,666,358",9.96
Colorado,5/30/2020,"12,519",5/23/2020,"244,600","2,666,358",9.17
Colorado,6/6/2020,"13,098",5/30/2020,"263,810","2,666,358",9.89
Colorado,6/13/2020,"10,382",6/6/2020,"242,785","2,666,358",9.11
Colorado,6/20/2020,"10,013",6/13/2020,"259,341","2,666,358",9.73
Colorado,6/27/2020,"8,646",6/20/2020,"237,236","2,666,358",8.9
Colorado,7/4/2020,"7,928",6/27/2020,"246,108","2,666,358",9.23
Colorado,7/11/2020,"10,554",7/4/2020,"228,224","2,681,376",8.51
Colorado,7/18/2020,"8,531",7/11/2020,"239,098","2,681,376",8.92
Colorado,7/25/2020,"8,037",7/18/2020,"224,204","2,681,376",8.36
Colorado,8/1/2020,"7,167",7/25/2020,"224,130","2,681,376",8.36
Colorado,8/8/2020,"6,231",8/1/2020,"198,702","2,681,376",7.41
Colorado,8/15/2020,"6,971",8/8/2020,"197,296","2,681,376",7.36
Colorado,8/22/2020,"6,483",8/15/2020,"180,390","2,681,376",6.73
Colorado,8/29/2020,"5,863",8/22/2020,"177,822","2,681,376",6.63
Colorado,9/5/2020,"6,031",8/29/2020,"162,261","2,681,376",6.05
Colorado,9/12/2020,"5,171",9/5/2020,"157,091","2,681,376",5.86
Colorado,9/19/2020,"5,115",9/12/2020,"151,250","2,681,376",5.64
Colorado,9/26/2020,"4,862",9/19/2020,"143,856","2,681,376",5.37
Colorado,10/3/2020,"5,919",9/26/2020,"127,012","2,681,376",4.74
Colorado,10/10/2020,"6,406",10/3/2020,"124,333","2,692,685",4.62
Colorado,10/17/2020,"5,759",10/10/2020,"111,822","2,692,685",4.15
Colorado,10/24/2020,"6,071",10/17/2020,"105,759","2,692,685",3.93
Colorado,10/31/2020,"7,138",10/24/2020,"96,782","2,692,685",3.59
Colorado,11/7/2020,"7,516",10/31/2020,"92,367","2,692,685",3.43
Colorado,11/14/2020,"9,205",11/7/2020,"86,785","2,692,685",3.22
